Dataset,Species,Version
pcoquereli,Coquerel's sifaka,Pcoq_1.0
pformosa,Amazon molly,Poecilia_formosa-5.1.2
pkingsleyae,Paramormyrops kingsleyae,PKINGS_0.1
platipinna,Sailfin molly,P_latipinna-1.0
pmarinus,Lamprey,Pmarinus_7.0
pmbairdii,Northern American deer mouse,HU_Pman_2.1
pmexicana,Shortfin molly,P_mexicana-1.0
pnattereri,Red-bellied piranha,Pygocentrus_nattereri-1.0.2
pnyererei,Makobe Island cichlid,PunNye1.0
ppaniscus,Bonobo,panpan1.1
ppardus,Leopard,PanPar1.0
pranga,Indian glassy fish,fParRan2.1
preticulata,Guppy,Guppy_female_1.0_MT
psimus,Greater bamboo lemur,Prosim_1.0
psinensis,Chinese softshell turtle,PelSin_1.0
ptaltaica,Tiger,PanTig1.0
ptephrosceles,Ugandan red Colobus,ASM277652v2
ptroglodytes,Chimpanzee,Pan_tro_3.0
pvampyrus,Megabat,pteVam1
pvitticeps,Central bearded dragon,pvi1.1
rbieti,Black snub-nosed monkey,ASM169854v1
rferrumequinum,Greater horseshoe bat,mRhiFer1_v1.p
rnorvegicus,Rat,Rnor_6.0
rroxellana,Golden snub-nosed monkey,Rrox_v1
saraneus,Shrew,sorAra1
saurata,Gilthead seabream,fSpaAur1.1
sbboliviensis,Bolivian squirrel monkey,SaiBol1.0
scanaria,Common canary,SCA1
scerevisiae,Saccharomyces cerevisiae,R64-1-1
sdumerili,Greater amberjack,Sdu_1.0
sfasciatus,Jewelled blenny,fSalaFa1.1
sformosus,Asian bonytongue,fSclFor1.1
shabroptila,Kakapo,bStrHab1_v1.p
sharrisii,Tasmanian devil,Devil_ref v7.0
sldorsalis,Yellowtail amberjack,Sedor1
smaximus,Turbot,ASM318616v1
smerianae,Argentine black and white tegu,HLtupMer3
sorbicularis,Orbiculate cardinalfish,fSphaOr1.1
spunctatus,Tuatara,ASM311381v1
ssalar,Atlantic salmon,ICSASG_v2
